iter	Passed	Remaining
681	1528	712
682	1529	710
683	1531	707
684	1532	704
685	1537	703
686	1538	700
687	1539	698
688	1541	695
689	1552	697
690	1553	694
691	1554	692
692	1556	689
693	1557	686
694	1559	684
695	1560	681
696	1561	678
697	1562	676
698	1564	673
699	1566	671
700	1568	669
701	1569	666
702	1571	663
703	1572	661
704	1573	658
705	1574	655
706	1576	653
707	1577	650
708	1581	649
709	1583	646
710	1585	644
711	1586	641
712	1587	639
713	1588	636
714	1590	633
715	1591	631
716	1593	628
717	1597	627
718	1599	625
719	1600	622
720	1602	619
721	1603	617
722	1604	614
723	1605	612
724	1606	609
725	1608	606
726	1610	604
727	1612	602
728	1613	599
729	1614	597
730	1615	594
731	1616	591
732	1617	589
733	1618	586
734	1620	584
735	1621	581
736	1622	578
737	1623	576
738	1626	574
739	1627	571
740	1628	569
741	1629	566
742	1630	564
743	1631	561
744	1632	558
745	1633	556
746	1634	553
747	1635	551
748	1636	548
749	1637	545
750	1639	543
751	1641	541
752	1642	538
753	1644	536
754	1645	534
755	1646	531
756	1648	529
757	1649	526
758	1650	524
759	1652	521
760	1654	519
761	1656	517
762	1657	514
763	1659	512
764	1660	510
765	1661	507
766	1662	505
767	1663	502
768	1665	500
769	1666	497
770	1669	495
771	1671	493
772	1672	491
773	1673	488
774	1674	486
775	1675	483
776	1677	481
777	1678	478
778	1679	476
779	1680	474
780	1682	471
781	1684	469
782	1686	467
783	1687	464
784	1688	462
785	1690	460
786	1691	457
787	1692	455
788	1693	452
789	1695	450
790	1696	448
791	1698	446
792	1700	443
793	1702	441
794	1703	439
795	1704	436
796	1706	434
797	1707	432
798	1708	429
799	1709	427
800	1711	425
801	1714	423
802	1715	420
803	1717	418
804	1718	416
805	1719	413
806	1720	411
807	1721	409
808	1723	406
809	1724	404
810	1725	402
811	1728	400
812	1729	397
813	1731	395
814	1733	393
815	1734	391
816	1735	388
817	1736	386
818	1738	384
819	1739	381
820	1742	379
821	1745	377
822	1748	375
823	1749	373
824	1751	371
825	1753	369
826	1754	367
827	1757	365
828	1759	362
829	1760	360
830	1762	358
831	1763	356
832	1764	353
833	1766	351
